time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-07-23 00:00:00+00:00,3,3,2.0,1.0
2021-07-24 00:00:00+00:00,4,4,2.0,1.0
2021-07-25 00:00:00+00:00,2,2,11.0,2.0
2021-07-26 00:00:00+00:00,5,5,5.0,2.0
2021-07-27 00:00:00+00:00,2,2,1.0,1.0
2021-07-28 00:00:00+00:00,4,4,4.0,2.0
2021-07-29 00:00:00+00:00,2,2,40.0,14.0
2021-07-30 00:00:00+00:00,1,1,10.0,8.0
2021-07-31 00:00:00+00:00,3,3,,
2021-08-01 00:00:00+00:00,3,3,,
2021-08-02 00:00:00+00:00,2,2,2.0,1.0
2021-08-03 00:00:00+00:00,2,2,3.0,2.0
2021-08-04 00:00:00+00:00,1,1,2.0,1.0
